元の行番号,会社名,分類,理由,サイトURL,フォームURL
1134,株式会社カカクコム,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社カカクコム,https://corporate.kakaku.com/,https://corporate.kakaku.com/contact
1145,株式会社スイッチメディア,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社スイッチメディア,https://www.switch-m.com/,https://switch-m.satori.site/inquiry
1153,株式会社AZ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社AZ,要確認,要確認
1162,株式会社ヒューマンテクノロジーズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ヒューマンテクノロジーズ,https://www.h-t.co.jp/,https://www.h-t.co.jp/contact/
1169,株式会社第一通信社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社第一通信社,https://www.ittsu.ne.jp/,https://www.ittsu.ne.jp/contact/
1171,株式会社日テレWands,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社日テレWands,https://www.ntv-wands.co.jp/,不明
1183,ナイル株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ナイル株式会社,https://nyle.co.jp/,https://nyle.co.jp/contact/
1187,株式会社アシロ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アシロ,https://asiro.co.jp/,https://asiro.co.jp/contact/
1192,株式会社LIFULL,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社LIFULL,https://lifull.com/,https://lifull.com/ask/
1196,株式会社スプリックス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社スプリックス,https://sprix.inc/,https://sprix.inc/contact/
1201,株式会社ディー・エヌ・エー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ディー・エヌ・エー,https://dena.com/jp/,https://dena.com/jp/contact/service-corporate/
1203,エキサイト株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: エキサイト株式会社,https://www.excite.co.jp/,https://info.excite.co.jp/inquiry/
1212,株式会社CHINTAI,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社CHINTAI,https://www.chintai.jp/,https://www.chintai.jp/contact/
1216,株式会社アトラエ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アトラエ,https://atrae.co.jp/,不明
1224,株式会社ビズリーチ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ビズリーチ,https://www.bizreach.co.jp/,https://www.bizreach.co.jp/contact/
1225,ファストドクター株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ファストドクター株式会社,https://fastdoctor.jp/,https://fastdoctor.jp/corporate/contact/
1229,株式会社グロースX,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社グロースX,https://grtx.jp/,https://grtx.jp/contact
1241,株式会社GA technologies,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社GA technologies,https://www.ga-tech.co.jp/,不明
1242,株式会社リジョブ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社リジョブ,https://rejob.co.jp/,不明
1261,Fism株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: FISM株式会社,https://fisminc.com/,https://fisminc.com/contact/
1266,株式会社電通ジャパン・インターナショナルブランズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社電通ジャパン・インターナショナルブランズ,https://djib.co.jp/,https://djib.co.jp/getintouch
1267,株式会社ファーストリテイリング,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ファーストリテイリング,https://www.fastretailing.com/jp/,https://www.fastretailing.com/jp/ir/contact/ ※IR用
1281,株式会社ワーナーミュージック・ジャパン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ワーナーミュージック・ジャパン,https://wmg.jp/,https://wmg.jp/corporate/faq
1286,パナソニック コネクト株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: パナソニック コネクト株式会社,https://connect.panasonic.com/jp-ja/,https://connect.panasonic.com/jp-ja/support
1318,株式会社JTBコミュニケーションデザイン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社JTBコミュニケーションデザイン,https://www.jtbcom.co.jp/,https://www.jtbcom.co.jp/contact/
1328,株式会社トウキョウビジュアルコミュニケーション山本,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社トウキョウビジュアルコミュニケーション山本,https://www.tvc.co.jp/,不明
1332,株式会社日本エージェンシー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社日本エージェンシー,https://www.nippon-ag.co.jp/,https://www.nippon-ag.co.jp/contact/
1334,アクセルマーク株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アクセルマーク株式会社,https://www.axelmark.co.jp/,https://www.axelmark.co.jp/contact/
1340,株式会社メイテンス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社メイテンス,https://meitens.biz/,不明
1343,株式会社アカネクリエーション,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アカネクリエーション,https://www.akane-ad.co.jp/,https://www.akane-ad.co.jp/contact/
1350,株式会社日本経済広告社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社日本経済広告社,https://www.adex.co.jp/,不明
1355,株式会社パレード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社パレード,https://parade-inc.com/,不明
1356,株式会社ADKデジタル・コミュニケーションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ADKデジタル・コミュニケーションズ,https://addc.jp/,不明
1368,株式会社Kaizen Platform,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Kaizen Platform,https://kaizenplatform.co.jp/,https://kaizenplatform.com/contact.html
1370,株式会社データ・ワン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社データ・ワン,https://data-one.co.jp/,不明
1376,株式会社ロカリオ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ロカリオ,https://localio.co.jp/,不明
1380,株式会社マイクロアド,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マイクロアド,https://www.microad.co.jp/,https://www.microad.co.jp/contact/
1390,株式会社ロイヤリティマーケティング,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ロイヤリティマーケティング,https://www.loyalty.co.jp/,https://www.loyalty.co.jp/inquiry
1393,株式会社アドウェイズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アドウェイズ,https://adways.net/,https://adways.net/inquiry/
1402,株式会社Donuts,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Donuts,https://www.donuts.ne.jp/,https://www.donuts.ne.jp/contact/corporate/
1413,株式会社ジェイアール東日本企画,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ジェイアール東日本企画,https://www.jeki.co.jp/,https://www.jeki.co.jp/contact/
1429,株式会社Shift,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Shift,要確認,要確認
1430,株式会社W‐ENDLESS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社W-ENDLESS,https://www.w-endless.co.jp/,https://www.w-endless.co.jp/contact/
1434,株式会社アイスタイル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アイスタイル,https://www.istyle.co.jp/,https://www.istyle.co.jp/contact/
1451,株式会社グッドパッチ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社グッドパッチ,https://goodpatch.com/,https://goodpatch.com/contact
1453,株式会社ビタブリッドジャパン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ビタブリッドジャパン,https://corporate.vitabrid.co.jp/,https://vitabrid.co.jp/shop/contact/
1464,売れるネット広告社株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社売れるネット広告社,https://www.ureru.co.jp/,https://www.ureru.co.jp/contact/
1467,UUUM株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: UUUM株式会社,https://www.uuum.co.jp/,https://www.uuum.co.jp/inquiry
1473,株式会社Sparty,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Sparty,https://sparty.jp/,https://sparty.jp/contact
1474,株式会社TRIBE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社TRIBE,要確認,要確認
1480,株式会社船井総合研究所,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社船井総合研究所,https://www.funaisoken.co.jp/,不明
1493,株式会社博報堂,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社博報堂,https://www.hakuhodo.co.jp/,https://www.hakuhodo.co.jp/inquiry/
1515,株式会社データX 新宿区,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 株式会社データX,https://data-x.co.jp/,https://data-x.jp/contact/
1526,株式会社HERP,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社HERP,https://herp.co.jp,不明
1536,BASE株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: BASE株式会社,https://binc.jp/,https://baseinc.jp/contact/index.html
1538,株式会社Loco Partners,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Loco Partners,https://loco-partners.com/,https://loco-partners.com/contact
1541,株式会社ホットライン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ホットライン,https://1hotline.co.jp/,https://1hotline.co.jp/contact/enter/
1553,株式会社日本美心,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社日本美心,不明,不明
1578,株式会社マイティーエース,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マイティーエース,https://mightyace.co.jp/,https://mightyace.co.jp/contact/contact01/
1583,株式会社無限,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社無限,https://mmmgn.co.jp/,https://mmmgn.co.jp/contact/
1599,パナソニック株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: パナソニック株式会社,https://holdings.panasonic/jp/,https://holdings.panasonic/jp/support/inquiry.html
1606,株式会社博報堂Gravity,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社博報堂Gravity,https://h-gravity.co.jp/,https://h-gravity.co.jp/contact/
1614,株式会社インタースペース,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社インタースペース,https://www.interspace.ne.jp/,https://www.interspace.ne.jp/contact/
1620,株式会社グラッドワン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社グラッドワン,https://gradone.jp/,https://gradone.jp/contact/
1627,株式会社コーエーテクモゲームス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社コーエーテクモゲームス,https://www.koeitecmo.co.jp/,https://www.koeitecmo.co.jp/inquiry/
1634,株式会社ウインウイン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ウインウイン,https://winwin-ad.com/,https://winwin-ad.com/support/inquiry/
1695,株式会社SVC,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社SVC,要確認,要確認
1701,株式会社インサイト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社インサイト,要確認,不明
1703,株式会社電通デジタル 大阪市,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 株式会社電通デジタル,https://www.dentsudigital.co.jp/,https://www.dentsudigital.co.jp/contact/
1711,ユニバーサルミュージック合同会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ユニバーサルミュージック合同会社,https://www.universal-music.co.jp/,https://support.universal-music.co.jp/hc/ja/requests/new
1733,トレジャーデータ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: トレジャーデータ株式会社,https://www.treasuredata.co.jp/,不明
1749,株式会社リセ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社リセ,https://lisse-law.com/,https://lisse-law.com/contact/
1754,株式会社グロービス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社グロービス,https://globis.com/,https://globis.com/contact/
1777,株式会社LOCUS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社LOCUS,https://www.locus-inc.co.jp/,https://www.locus-inc.co.jp/contact
1791,遠州鉄道株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 遠州鉄道株式会社,https://www.entetsu.co.jp/,https://www.entetsu.co.jp/contact/index2.html
1795,楽天グループ 株式会社 エンジニア採用,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 楽天グループ株式会社,https://corp.rakuten.co.jp/,不明
1805,株式会社ワンエイティ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ワンエイティ,https://o-eighty.jp/,不明
1826,株式会社ファインズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ファインズ,要確認,要確認
1842,株式会社ダイヤモンドファンタジー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ダイヤモンドファンタジー,http://www.diamond-f.co.jp,https://diamond-f.co.jp/contact/
1869,株式会社カルテットコミュニケーションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社カルテットコミュニケーションズ,https://quartetcom.co.jp/,https://quartetcom.co.jp/contact/
1880,ライズ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ライズ,要確認,要確認
1886,アドイノベーション株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アドイノベーション株式会社,https://adinnovation.co.jp/,https://adinnovation.co.jp/contact
1888,GMOメイクショップ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: GMOメイクショップ株式会社,https://www.makeshop.co.jp/,https://www.makeshop.co.jp/contact/
1889,株式会社ぐるなび,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ぐるなび,https://corporate.gnavi.co.jp/,https://corporate.gnavi.co.jp/contact/
1890,株式会社UPVILLAGE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社UPVILLAGE,https://www.upvillage.jp/,https://www.upvillage.jp/contact/
1905,楽天グループ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 楽天グループ株式会社,https://corp.rakuten.co.jp/,https://www.rakuten.co.jp/sitemap/inquiry.html
1907,株式会社アドレア,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アドレア,https://adrea.jp/,不明
1916,株式会社FEEL CONNECTION,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社FEEL CONNECTION,https://feelconnection.co.jp/,https://feelconnection.co.jp/contact/
1924,株式会社鎌倉新書,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社鎌倉新書,https://www.kamakura-net.co.jp/,https://www.kamakura-net.co.jp/contact/
1932,Vogaro株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: Vogaro株式会社,https://www.vogaro.co.jp/,https://www.vogaro.co.jp/contact/
1955,パナソニックコネクト株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: パナソニック コネクト株式会社,https://connect.panasonic.com/jp-ja,https://connect.panasonic.com/jp-ja/support
1956,ヤマハ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ヤマハ株式会社,https://www.yamaha.com/ja/,https://www.yamaha.com/ja/contact-us/
1962,カルチュア・コンビニエンス・クラブ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: カルチュア・コンビニエンス・クラブ株式会社,https://www.ccc.co.jp/,不明
1970,株式会社ハースト婦人画報社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ハースト婦人画報社,https://hearst.co.jp/,不明
1983,株式会社STORY,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社STORY,要確認,要確認
1989,株式会社プラチナム,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社プラチナム,https://platinuminc.jp/,不明
1995,株式会社博報堂プロダクツ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社博報堂プロダクツ,https://www.h-products.co.jp/,https://www.h-products.co.jp/contact/
2001,株式会社ADKマーケティング・ソリューションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ADKマーケティング・ソリューションズ,https://www.adkms.jp/,https://www.adkms.jp/ask/
2002,株式会社電通プロモーション,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社電通プロモーション,https://www.dentsupromotion.co.jp/,https://www.dentsupromotion.co.jp/contact/
2006,株式会社DGコミュニケーションズ ~デジタルガレ...,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 株式会社DGコミュニケーションズ,https://www.dg-c.co.jp/,https://www.dg-c.co.jp/contact/
2044,アンカー・ジャパン株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アンカー・ジャパン株式会社,https://www.ankerjapan.com/,https://www.ankerjapan.com/pages/contact
2052,ソウルドアウト株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ソウルドアウト株式会社,https://www.sold-out.co.jp/,https://www.sold-out.co.jp/contact
2082,バリュークリエーション株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: バリュークリエーション株式会社,https://value-creation.jp/,https://value-creation.jp/contact/
2084,株式会社FORCE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社FORCE,https://mk-force.com/,不明
2089,株式会社ウィルオブ・ワーク,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ウィルオブ・ワーク,https://willof-work.co.jp/,https://willof-work.co.jp/corp/contact/
2100,株式会社北の達人コーポレーション,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社北の達人コーポレーション,https://www.kitanotatsujin.com/,https://www.kitanotatsujin.com/contact/general/
2105,株式会社マクロミル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マクロミル,https://www.macromill.com/,https://www.macromill.com/contact/ja/menu.html
2107,株式会社CARTA ZERO,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社CARTA ZERO,https://cartazero.co.jp/,https://cartazero.co.jp/contact/
2108,株式会社ワンスター,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ワンスター,https://one-star.jp/,https://one-star.jp/contact_form/
2109,株式会社イルグルム,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社イルグルム,https://yrglm.co.jp/,不明
2120,株式会社Speee,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Speee,https://speee.jp/,https://speee.jp/contact/
2130,ADKマーケティング・ソリューションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ADKマーケティング・ソリューションズ,https://www.adkms.jp/,https://www.adkms.jp/ask/
2132,Supership株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: Supership株式会社,https://supership.jp/,https://supership.jp/contact/
2139,株式会社Days,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Days,要確認,要確認
2143,中京広告株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 中京広告株式会社,https://chukyo-ad.com/,https://chukyo-ad.com/website/mailform/
2145,株式会社PLAN-B,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社PLAN-B,https://www.plan-b.co.jp/,https://www.plan-b.co.jp/contact/
2168,株式会社MTG,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社MTG,https://www.mtg.gr.jp/,https://www.mtg.gr.jp/feedback/
2176,株式会社オールアバウト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オールアバウト,https://corp.allabout.co.jp/,https://corp.allabout.co.jp/inquiry
2184,アデコ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アデコ株式会社,https://www.adeccogroup.jp/,https://www.adecco.com/ja-jp/client/contact/telephone
2194,さくらフォレスト株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: さくらフォレスト株式会社,https://sakuraforest.co.jp/,https://sakuraforest.co.jp/contact/
2196,トランスコスモス株式会社 CX事業統括 サービス推進本部,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: トランスコスモス株式会社,https://www.trans-cosmos.co.jp/,https://www.trans-cosmos.co.jp/contact/
2235,株式会社西日本新聞メディアラボ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社西日本新聞メディアラボ,https://www.medialab.co.jp/,https://www.medialab.co.jp/contact/
2247,株式会社クリーク・アンド・リバー社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社クリーク・アンド・リバー社,https://www.cri.co.jp/,不明
2280,株式会社中日アド企画,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社中日アド企画,https://www.chunichi-adnet.co.jp/,https://www.chunichi-adnet.co.jp/contact
2292,株式会社ウィルオブ・ワーク（ウィルグループ）,除外リスト該当(同一法人),同一法人（社名変更・別表記） / 株式会社ウィルオブ・ワーク（括弧内はグループ名）,https://willof-work.co.jp/,https://willof-work.co.jp/corp/contact/
2294,株式会社敏弘社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社敏弘社,https://www.bnk-ad.co.jp/,http://www.bnk-ad.co.jp/company/contact/
2321,株式会社CyberZ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社CyberZ,https://cyber-z.co.jp/,https://cyber-z.co.jp/contact
75,株式会社CARTA HOLDINGS,除外リスト該当(親子・グループ会社),親子・グループ会社 / 株式会社CARTA ZERO の親会社,https://cartaholdings.co.jp/,https://cartaholdings.co.jp/contact/
129,ニフティライフスタイル株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / ニフティ株式会社 の関連会社,https://niftylifestyle.co.jp/,https://dm.niftylifestyle.co.jp/contact/
491,株式会社リクルートR&Dスタッフィング,除外リスト該当(親子・グループ会社),親子・グループ会社 / 株式会社リクルート の関連会社,https://www.recruit-rds.co.jp/,https://www.recruit-rds.co.jp/contact/
503,サイバーエージェントグループ,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社サイバーエージェント,https://www.cyberagent.co.jp/,https://www.cyberagent.co.jp/contact/
504,株式会社CARTAHOLDINGS,除外リスト該当(親子・グループ会社),親子・グループ会社 / 株式会社CARTA ZERO の親会社,https://cartaholdings.co.jp/,https://cartaholdings.co.jp/contact/
509,デジマールリンクス株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / デジマール株式会社 の関連会社,https://digimarl-links.com/,https://digimarl-links.com/contact
648,株式会社ベクトルグループ,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社ベクトル,https://vectorinc.co.jp/,https://vectorinc.co.jp/inquiry
717,株式会社電通PRコンサルティング,除外リスト該当(親子・グループ会社),親子・グループ会社 / 電通グループ（除外に株式会社電通）,https://www.dentsuprc.co.jp/,https://www.dentsuprc.co.jp/contact/
871,株式会社ベネッセスタイルケアグループ,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社ベネッセスタイルケア,https://benesse-scg.co.jp/,https://benesse-scg.co.jp/faq
875,エムスリーキャリア株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / エムスリー株式会社 の子会社,https://www.m3career.com/,https://www.m3career.com/contact/
896,株式会社NEW ART HOLDINGS,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社NEW ART,https://newart-ir.jp/,https://newart-ir.jp/contact/
906,インキュデータ株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / ソフトバンク×博報堂×トレジャーデータのJV（3社すべて除外リストにあり）,https://www.incudata.co.jp/,https://www.incudata.co.jp/contact/
1132,株式会社フリークアウト・ホールディングス,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社フリークアウト,https://www.fout.co.jp/,https://www.fout.co.jp/contact/
1135,株式会社D2C R,除外リスト該当(親子・グループ会社),親子・グループ会社 / 株式会社D2C の子会社,https://www.d2cr.co.jp/,https://www.d2cr.co.jp/contact
1190,ネクステージグループホールディングス株式会社,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: ネクステージ株式会社,https://c-nextage.com/,https://c-nextage.com/contact/
1270,パナソニック エナジー株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / パナソニックグループ（除外にパナソニック株式会社・パナソニック コネクト株式会社）,https://www.panasonic.com/jp/energy/,https://energy.panasonic.com/jp/business/inquiry/sales-agency
1479,第一三共ヘルスケアダイレクト株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / 第一三共ヘルスケア株式会社 の子会社,https://daiichisankyo-hcdr.co.jp/,https://daiichisankyo-hcdr.co.jp/contact/
1545,GMO TECHホールディングス株式会社,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: GMO TECH株式会社,https://hd.gmotech.jp/,https://hd.gmotech.jp/contact/
1870,楽天カード株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / 楽天グループ株式会社 の子会社,https://www.rakuten-card.co.jp/,https://www.rakuten-card.co.jp/support/contact/
1884,リンクタイズホールディングス株式会社,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: リンクタイズ株式会社,https://linkties-holdings.com/,https://linkties-holdings.com/contact/
1959,パナソニックグループ,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: パナソニック株式会社,https://holdings.panasonic/jp/,https://holdings.panasonic/jp/support/inquiry.html
1963,マテリアルグループ株式会社,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: 株式会社マテリアル,https://materialgroup.jp/,https://materialgroup.jp/contact/
1968,パナソニック エナジー,除外リスト該当(親子・グループ会社),親子・グループ会社 / パナソニックグループ（除外にパナソニック株式会社・パナソニック コネクト株式会社）,https://www.panasonic.com/jp/energy/,https://energy.panasonic.com/jp/business/inquiry/
